109: p1_ec1='0.05', p2_ec2='0.65', p3_ec3='0.25', p4_ec4='0.05', p5_arg='1.8', p6_lys='1.6', p7_met='1.9', p8_phe='1.1',109,0
110: p1_ec1='0.3', p2_ec2='0.20', p3_ec3='0.15', p4_ec4='0.35', p5_arg='1.7', p6_lys='1.4', p7_met='1.3', p8_phe='1.1',110,0
111: p1_ec1='0.75', p2_ec2='0.05', p3_ec3='0.15', p4_ec4='0.05', p5_arg='1.1', p6_lys='1.7', p7_met='1.7', p8_phe='1',111,0
112: p1_ec1='0.4', p2_ec2='0.1', p3_ec3='0.15', p4_ec4='0.35', p5_arg='1.4', p6_lys='1.2', p7_met='1.3', p8_phe='1.1',112,0
113: p1_ec1='0.1', p2_ec2='0.1', p3_ec3='0.05', p4_ec4='0.75', p5_arg='1.3', p6_lys='2', p7_met='1.9', p8_phe='1.5',113,0
114: p1_ec1='0.35', p2_ec2='0.15', p3_ec3='0.15', p4_ec4='0.35', p5_arg='1.1', p6_lys='1.2', p7_met='1.6', p8_phe='1.1',114,0
115: p1_ec1='0.25', p2_ec2='0.20', p3_ec3='0.15', p4_ec4='0.4', p5_arg='1.3', p6_lys='2', p7_met='1.1', p8_phe='1',115,0
116: p1_ec1='0.35', p2_ec2='0.25', p3_ec3='0.15', p4_ec4='0.25', p5_arg='1.7', p6_lys='1.2', p7_met='1.2', p8_phe='1.1',116,0
117: p1_ec1='0.8', p2_ec2='0.1', p3_ec3='0.05', p4_ec4='0.05', p5_arg='1.4', p6_lys='1', p7_met='1.4', p8_phe='1.3',117,0
118: p1_ec1='0.35', p2_ec2='0.25', p3_ec3='0.1', p4_ec4='0.3', p5_arg='1.7', p6_lys='1.3', p7_met='1', p8_phe='1.1',118,0.906565
119: p1_ec1='0.05', p2_ec2='0.65', p3_ec3='0.15', p4_ec4='0.15', p5_arg='1.3', p6_lys='1.8', p7_met='1.2', p8_phe='1.7',119,0
120: p1_ec1='0.4', p2_ec2='0.15', p3_ec3='0.15', p4_ec4='0.3', p5_arg='1.6', p6_lys='1.8', p7_met='1.6', p8_phe='1.8',120,0.919197
121: p1_ec1='0.1', p2_ec2='0.1', p3_ec3='0.65', p4_ec4='0.15', p5_arg='1.2', p6_lys='1', p7_met='1.2', p8_phe='1.6',121,0
122: p1_ec1='0.4', p2_ec2='0.15', p3_ec3='0.15', p4_ec4='0.3', p5_arg='1.2', p6_lys='1.3', p7_met='1.5', p8_phe='1.4',122,0.923219
123: p1_ec1='0.20', p2_ec2='0.25', p3_ec3='0.20', p4_ec4='0.35', p5_arg='1.4', p6_lys='1.5', p7_met='2', p8_phe='1.3',123,0
124: p1_ec1='0.4', p2_ec2='0.25', p3_ec3='0.1', p4_ec4='0.25', p5_arg='1.7', p6_lys='1.3', p7_met='1.5', p8_phe='1.7',124,0.883512
125: p1_ec1='0.15', p2_ec2='0.3', p3_ec3='0.35', p4_ec4='0.20', p5_arg='1.5', p6_lys='1.4', p7_met='1.8', p8_phe='1.3',125,0
126: p1_ec1='0.7', p2_ec2='0.15', p3_ec3='0.05', p4_ec4='0.1', p5_arg='1.8', p6_lys='1.2', p7_met='1.5', p8_phe='1.3',126,0.764965
127: p1_ec1='0.15', p2_ec2='0.25', p3_ec3='0.5', p4_ec4='0.1', p5_arg='1.9', p6_lys='1.5', p7_met='1.5', p8_phe='1.9',127,0
128: p1_ec1='0.4', p2_ec2='0.15', p3_ec3='0.05', p4_ec4='0.4', p5_arg='1.6', p6_lys='1.4', p7_met='1.4', p8_phe='1.3',128,0.928389
129: p1_ec1='0.05', p2_ec2='0.55', p3_ec3='0.35', p4_ec4='0.05', p5_arg='2', p6_lys='1.2', p7_met='1.3', p8_phe='1.1',129,0
130: p1_ec1='0.3', p2_ec2='0.15', p3_ec3='0.15', p4_ec4='0.4', p5_arg='1.2', p6_lys='2', p7_met='1.6', p8_phe='1.3',130,0
131: p1_ec1='0.20', p2_ec2='0.15', p3_ec3='0.05', p4_ec4='0.6', p5_arg='1', p6_lys='1', p7_met='1', p8_phe='2',131,0
132: p1_ec1='0.4', p2_ec2='0.15', p3_ec3='0.05', p4_ec4='0.4', p5_arg='1.4', p6_lys='1.8', p7_met='1.5', p8_phe='1.3',132,0.922105
133: p1_ec1='0.05', p2_ec2='0.35', p3_ec3='0.1', p4_ec4='0.5', p5_arg='1.2', p6_lys='1.9', p7_met='1.9', p8_phe='1.6',133,0
134: p1_ec1='0.35', p2_ec2='0.15', p3_ec3='0.15', p4_ec4='0.35', p5_arg='1.3', p6_lys='1.7', p7_met='1.3', p8_phe='1.2',134,0.952034
135: p1_ec1='0.6', p2_ec2='0.20', p3_ec3='0.15', p4_ec4='0.05', p5_arg='1.5', p6_lys='1.8', p7_met='1.4', p8_phe='1.1',135,0.895336
136: p1_ec1='0.35', p2_ec2='0.4', p3_ec3='0.05', p4_ec4='0.20', p5_arg='1.5', p6_lys='1.7', p7_met='1.2', p8_phe='1.4',136,0
137: p1_ec1='0.4', p2_ec2='0.1', p3_ec3='0.05', p4_ec4='0.45', p5_arg='1.1', p6_lys='1.4', p7_met='1.8', p8_phe='1.1',137,0.941147
138: p1_ec1='0.1', p2_ec2='0.05', p3_ec3='0.45', p4_ec4='0.4', p5_arg='1.2', p6_lys='1.7', p7_met='2', p8_phe='1.3',138,0
139: p1_ec1='0.4', p2_ec2='0.1', p3_ec3='0.15', p4_ec4='0.35', p5_arg='1.1', p6_lys='1.9', p7_met='1.9', p8_phe='1.2',139,0.882325
140: p1_ec1='0.55', p2_ec2='0.05', p3_ec3='0.1', p4_ec4='0.3', p5_arg='1.7', p6_lys='1.9', p7_met='1.2', p8_phe='1.1',140,0.854851
141: p1_ec1='0.75', p2_ec2='0.15', p3_ec3='0.05', p4_ec4='0.05', p5_arg='1.5', p6_lys='1.3', p7_met='1.4', p8_phe='1.1',141,0
142: p1_ec1='0.4', p2_ec2='0.15', p3_ec3='0.4', p4_ec4='0.05', p5_arg='1.2', p6_lys='1.8', p7_met='1.2', p8_phe='2',142,0
143: p1_ec1='0.6', p2_ec2='0.20', p3_ec3='0.15', p4_ec4='0.05', p5_arg='1', p6_lys='2', p7_met='1.6', p8_phe='1.4',143,0.858761
144: p1_ec1='0.3', p2_ec2='0.45', p3_ec3='0.20', p4_ec4='0.05', p5_arg='1', p6_lys='1.4', p7_met='1.9', p8_phe='1',144,0
145: p1_ec1='0.6', p2_ec2='0.20', p3_ec3='0.15', p4_ec4='0.05', p5_arg='1.5', p6_lys='1.6', p7_met='1.4', p8_phe='1.3',145,0.887671
146: p1_ec1='0.05', p2_ec2='0.4', p3_ec3='0.05', p4_ec4='0.5', p5_arg='1.1', p6_lys='1.9', p7_met='1.9', p8_phe='1.4',146,0
147: p1_ec1='0.4', p2_ec2='0.1', p3_ec3='0.15', p4_ec4='0.35', p5_arg='1.3', p6_lys='1.4', p7_met='1.8', p8_phe='1.3',147,0
148: p1_ec1='0.1', p2_ec2='0.3', p3_ec3='0.15', p4_ec4='0.45', p5_arg='1.9', p6_lys='1.1', p7_met='1.2', p8_phe='1.5',148,0
149: p1_ec1='0.4', p2_ec2='0.20', p3_ec3='0.1', p4_ec4='0.3', p5_arg='1', p6_lys='1.4', p7_met='1.8', p8_phe='1.4',149,0
150: p1_ec1='0.1', p2_ec2='0.3', p3_ec3='0.25', p4_ec4='0.35', p5_arg='1.8', p6_lys='1.4', p7_met='1.5', p8_phe='1.8',150,0
151: p1_ec1='0.4', p2_ec2='0.1', p3_ec3='0.15', p4_ec4='0.35', p5_arg='1.4', p6_lys='1.8', p7_met='2', p8_phe='1.4',151,0
152: p1_ec1='0.20', p2_ec2='0.5', p3_ec3='0.15', p4_ec4='0.15', p5_arg='1', p6_lys='1.1', p7_met='1.4', p8_phe='1.1',152,0
153: p1_ec1='0.45', p2_ec2='0.15', p3_ec3='0.05', p4_ec4='0.35', p5_arg='1.5', p6_lys='1.8', p7_met='2', p8_phe='1.1',153,0.896392
154: p1_ec1='0.35', p2_ec2='0.25', p3_ec3='0.15', p4_ec4='0.25', p5_arg='1.2', p6_lys='1.7', p7_met='2', p8_phe='1.8',154,0
155: p1_ec1='0.45', p2_ec2='0.15', p3_ec3='0.15', p4_ec4='0.25', p5_arg='1.6', p6_lys='1.3', p7_met='1.6', p8_phe='1.6',155,0.908001
156: p1_ec1='0.4', p2_ec2='0.35', p3_ec3='0.05', p4_ec4='0.20', p5_arg='1.9', p6_lys='2', p7_met='1.7', p8_phe='2',156,0.913488
157: p1_ec1='0.7', p2_ec2='0.15', p3_ec3='0.1', p4_ec4='0.05', p5_arg='1.3', p6_lys='2', p7_met='1.5', p8_phe='1.5',157,0.948291
