Fitness_function	configuration	fitness	sd	avg.Biomass	avg.Yield	endCycle
MaxYieldNew_MinTime	-6.0,-16.0,-6.0,-2.0,-8.0,-7.0,5.8,-3.6	0.698603	0.0005374651005522637	0.962798	0.523324	114
MaxYieldNew_MinTime	-2.0,-12.0,-7.0,-20.0,-16.0,-7.0,-3.6,20.6	0.698515	0.0002206827099920243	0.764436	0.413218	70
MaxYieldNew_MinTime	-4.0,-12.0,-7.0,-2.0,-10.0,-5.0,0.5,-0.0	0.698483	0.0002836876898104344	0.998569	0.543179	122
MaxYieldNew_MinTime	-4.0,-18.0,-7.0,-2.0,0.0,-7.0,0.5,0.0	0.698404	0.0004683930170503621	1.007407	0.548085	124
MaxYieldNew_MinTime	-4.0,-8.0,-7.0,-2.0,-10.0,-5.0,0.5,-1.2	0.69839	1.9391663545733128e-05	0.998368	0.543068	122
MaxYieldNew_MinTime	-4.0,-8.0,-7.0,-2.0,0.0,-4.0,0.5,0.0	0.698321	0.0004683930215904129	1.007228	0.547986	124
MaxYieldNew_MinTime	-6.0,-18.0,-6.0,-2.0,-12.0,-7.0,5.8,-3.6	0.697423	0.0005840719893698282	0.960247	0.521908	114
MaxYieldNew_MinTime	-6.0,-18.0,-7.0,-6.0,-2.0,-3.0,4.7,6.9	0.697122	0.0001246317677683018	0.937077	0.509046	109
MaxYieldNew_MinTime	-2.0,-16.0,-2.0,-10.0,-6.0,-7.0,2.3,11.3	0.697041	6.876118465925871e-05	0.905374	0.491449	102
MaxYieldNew_MinTime	-2.0,-4.0,-1.0,-14.0,-10.0,-7.0,2.5,15.8	0.696276	2.8139037880165445e-05	0.818147	0.443031	83
MaxYieldNew_MinTime	-16.0,-16.0,-7.0,-2.0,-14.0,-6.0,17.4,-2.4	0.696094	8.683695806234631e-05	0.790729	0.427813	77
MaxYieldNew_MinTime	-8.0,-18.0,-7.0,-8.0,-16.0,-4.0,8.2,9.2	0.695742	0.0019099149316789891	0.88455	0.47989	98
MaxYieldNew_MinTime	-2.0,-12.0,-7.0,-10.0,-14.0,-6.0,-3.6,11.9	0.695392	0.010533474168343852	0.889799	0.482804	98
MaxYieldNew_MinTime	-6.0,-18.0,-2.0,-6.0,-18.0,-7.0,6.3,4.7	0.695214	0.00043555995506848667	0.932952	0.506757	109
MaxYieldNew_MinTime	-2.0,-8.0,-4.0,-4.0,-4.0,-7.0,-0.0,0.5	0.694923	1.6467189997125851e-06	1.008889	0.548907	126
MaxYieldNew_MinTime	-6.0,-6.0,-6.0,-2.0,-10.0,-7.0,5.8,-3.6	0.694451	0.0009895056081555584	0.958327	0.520841	115
MaxYieldNew_MinTime	-6.0,0.0,-5.0,-10.0,-6.0,-7.0,6.5,11.3	0.694378	0.0011869642867610186	0.904122	0.490754	103
MaxYieldNew_MinTime	-8.0,-16.0,-7.0,-10.0,-16.0,-5.0,8.2,11.4	0.694172	0.0009254180445015532	0.858638	0.465507	93
MaxYieldNew_MinTime	-8.0,-14.0,-7.0,-10.0,-14.0,-5.0,8.2,11.4	0.694172	0.0009252846170103409	0.858638	0.465507	93
MaxYieldNew_MinTime	-4.0,-18.0,-6.0,-2.0,-8.0,-7.0,1.7,-3.6	0.69288	0.0025053258658403305	1.008978	0.548957	127
MaxYieldNew_MinTime	-2.0,-18.0,-2.0,-4.0,-18.0,-7.0,2.3,0.5	0.692865	9.436734514258179e-05	1.004439	0.546437	126
MaxYieldNew_MinTime	-2.0,-18.0,-2.0,-4.0,-10.0,-7.0,2.3,0.5	0.692865	9.436734514258179e-05	1.004439	0.546437	126
MaxYieldNew_MinTime	-4.0,-12.0,-7.0,-2.0,0.0,-2.0,0.5,2.3	0.692789	0.00012575987731925904	1.004276	0.546347	126
MaxYieldNew_MinTime	-2.0,0.0,-2.0,-4.0,-14.0,-7.0,2.3,0.5	0.692789	0.00012575987731925904	1.004276	0.546347	126
